Code,SMILES,Classifications,Backbone_Type,Backbone_Info
004,[NH3][C@@H](c1ccccc1)C(=O)O,aromatic;cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
0A1,COc1ccc(cc1)C[C@@H](C(=O)O)[NH3],cyclic,alpha,默认分类
0AF,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1cccc2O,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
0BN,[NH3][C@H](C(=O)O)Cc1ccc(cc1)[C](=[NH2])=[NH2],cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
200,[NH3][C@H]([C](=O)=O)Cc1ccc(cc1)Cl,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
26P,OC(=O)[C@H](CCC[C](=[C](=O)=O)=O)[NH3],d_amino,alpha,默认分类
2AG,[NH3][C@H](C(=O)O)CC=C,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
2AS,OC(=O)[C@H]([C@@H]([C](=O)=O)C)[NH3],d_amino,alpha,默认分类
2FM,FC(SCC[C@@H](C(=O)O)[NH3])F,unclassified,alpha,默认分类
2HF,[NH3][C@H](C(=O)O)C[C@@H]1CN[C@@H](N1)F,cyclic;d_amino;n_methyl,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
2HF1,[NH3][C@H](C(=O)O)Cc1cnc([nH]1)F,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
2HF2,[NH3][C@H](C(=O)O)Cc1c[nH]c(n1)F,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
2NP,OC(=O)[C@H](CCC[C](=[C](=O)=O)=C)[NH3],d_amino,alpha,默认分类
32T,O=[C](=O)[C@H](Cc1c[nH]c2c1scc2)[NH3],cyclic;d_amino,alpha,默认分类
3CF,N#Cc1cccc(c1)C[C@@H](C(=O)O)[NH3],cyclic,alpha,默认分类
3FG,OC(=O)[C@H](c1cc(O)cc(c1)O)[NH3],cyclic;d_amino,alpha,默认分类
3GL,OC(=O)[C@H](C[C@@H]([C](=O)=O)O)[NH3],d_amino,alpha,默认分类
3MY,OC(=O)[C@H](Cc1ccc(c(c1)Cl)O)[NH3],cyclic;d_amino,alpha,默认分类
4BF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)Br,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
4CF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C#N,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
4CY,N#CSCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
4FW,OC(=O)[C@H](Cc1c[nH]c2c1c(F)ccc2)[NH3],cyclic;d_amino,alpha,默认分类
4HMP,OCc1ccc(cc1)C[C@@H](C(=O)O)[NH3],cyclic,alpha,默认分类
4HT,O=[C](=O)[C@H](Cc1c[nH]c2c1c(O)ccc2)[NH3],cyclic;d_amino,alpha,默认分类
4IN,OC(=O)[C@H](Cc1c[nH]c2c1c(N)ccc2)[NH3],cyclic;d_amino,alpha,默认分类
4PH,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
6CL,[NH3][C@H](C(=O)O)CCC[C@H]([C](=O)=O)[NH3],cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
6CW,O=[C](=O)[C@H](Cc1c[nH]c2c1ccc(c2)Cl)[NH3],cyclic;d_amino,alpha,默认分类
AA4,OCCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
ABA,CC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
ACZ,[NH3][C@H](C(=O)O)CC[C@@H]1C=C[C@@H](C=C1)[NH3],cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ADAM,[NH3][C@H]([C](=O)=O)C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
AGM,C[C@H]([NH]=[C](=[NH2])=[NH2])CC[C@@H](C(=O)O)[NH3],cyclic;d_amino,alpha,默认分类
AHB,OC(=O)[C@H]([C@@H](C(=O)N)O)[NH3],d_amino,alpha,默认分类
AHP,CCCCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
ALA,[NH3][C@@H](C)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ALC,[NH3][C@H](C(=O)O)CC1CCCCC1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ALN,O=[C](=O)[C@H](Cc1cccc2c1cccc2)[NH3],cyclic;d_amino,alpha,默认分类
ALO,[NH3][C@H](C(=O)O)[C@H](C)O,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ANTH,OC(=O)[C@H](Cc1c2ccccc2cc2c1cccc2)[NH3],cyclic;d_amino,alpha,默认分类
APD,OC(=O)[C@H](Cc1cccc(c1)C)[NH3],cyclic;d_amino,alpha,默认分类
APM,,,,
ARG,[NH3][C@@H](CCCNC(=[NH2])N)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ARO,O[C@H](C[C@@H](C(=O)O)[NH3])C[NH]=[C](=[NH2])=[NH2],cyclic;d_amino,alpha,默认分类
AS2,O=CC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
ASN,[NH3][C@@H](CC(=O)N)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ASP,[NH3][C@@H](CC(=O)O)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
AZDA,[NH3][C@H]([C](=O)=O)CN=[N]=N,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
BB8,O[C@H]([C@@H](C(=O)O)[NH3])c1ccccc1,aromatic;cyclic;d_amino,alpha,默认分类
BCS,[NH3][C@H](C(=O)O)CSCc1ccccc1,aromatic;cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
BHD,O=[C](=O)[C@H]([C@@H]([C](=O)=O)[NH3])O,d_amino,alpha,默认分类
BIF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)c1ccccc1,aromatic;cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
BIU,C[C@H]([C@@H](C(=O)O)[NH3])CCBr,d_amino,alpha,默认分类
BTH3,O=[C](=O)[C@H](Cc1csc2c1cccc2)[NH3],cyclic;d_amino,alpha,默认分类
BTR,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)Br)[NH3],cyclic;d_amino,alpha,默认分类
BUG,[NH3][C@@H](C(C)(C)C)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
C2N,ClC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
CAN,[NH3][C@H](C(=O)O)CCON,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
CCS,O=[C](=O)CSC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
CHG,[NH3][C@H](C(=O)O)C1CCCCC1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
CHP,OC(=O)[C@H](c1ccc(c(c1)Cl)O)[NH3],cyclic;d_amino,alpha,默认分类
