amino_acid_code,smiles,current_classification,is_beta_current,is_gamma_current,is_d_amino_current,is_cyclic_current,is_aromatic_current,is_n_methyl_current,manual_classification,is_beta_manual,is_gamma_manual,is_d_amino_manual,is_cyclic_manual,is_aromatic_manual,is_n_methyl_manual,analysis_notes,has_pdb,has_mol2
004,[NH3][C@@H](c1ccccc1)C(=O)O,Cyclic; Aromatic,No,No,No,Yes,Yes,No,Aromatic,No,No,No,No,Yes,No,L-苯丙氨酸衍生物，含苯环，应分类为芳香族而非环状,Yes,Yes
0A1,COc1ccc(cc1)C[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-酪氨酸甲醚，含甲氧基苯环，应分类为芳香族,Yes,Yes
0AF,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1cccc2O,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含吲哚环系统为芳香族,Yes,Yes
0BN,[NH3][C@H](C(=O)O)Cc1ccc(cc1)[C](=[NH2])=[NH2],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯丙氨酸衍生物，C@H表示D型，含苯环为芳香族,Yes,Yes
200,[NH3][C@H]([C](=O)=O)Cc1ccc(cc1)Cl,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-氯苯丙氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
26P,OC(=O)[C@H](CCC[C](=[C](=O)=O)=O)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-谷氨酸衍生物，C@H表示D型，无环或芳香结构,Yes,Yes
2AG,[NH3][C@H](C(=O)O)CC=C,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-烯丙基甘氨酸，C@H表示D型，含烯烃但无环结构,Yes,Yes
2AS,OC(=O)[C@H]([C@@H]([C](=O)=O)C)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-天冬氨酸衍生物，C@H表示D型，无环或芳香结构,Yes,Yes
2FM,FC(SCC[C@@H](C(=O)O)[NH3])F,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-氟硫氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
2HF,[NH3][C@H](C(=O)O)C[C@@H]1CN[C@@H](N1)F,D-amino; Cyclic; N-methyl,No,No,Yes,Yes,No,Yes,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-脯氨酸衍生物，C@H表示D型，含五元环结构，环中氮不算N-甲基,Yes,Yes
2HF1,[NH3][C@H](C(=O)O)Cc1cnc([nH]1)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-组氨酸衍生物，C@H表示D型，含咪唑环为杂环芳香族,Yes,Yes
2HF2,[NH3][C@H](C(=O)O)Cc1c[nH]c(n1)F,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-组氨酸衍生物，C@H表示D型，含咪唑环为杂环芳香族,Yes,Yes
2NP,OC(=O)[C@H](CCC[C](=[C](=O)=O)=C)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-谷氨酸衍生物，C@H表示D型，无环或芳香结构,Yes,Yes
32T,O=[C](=O)[C@H](Cc1c[nH]c2c1scc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含苯并噻吩环系统为芳香族,Yes,Yes
3CF,N#Cc1cccc(c1)C[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-苯丙氨酸衍生物，C@@H表示L型，含苯环为芳香族,Yes,Yes
3FG,OC(=O)[C@H](c1cc(O)cc(c1)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯丙氨酸衍生物，C@H表示D型，含苯环为芳香族,Yes,Yes
3GL,OC(=O)[C@H](C[C@@H]([C](=O)=O)O)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-天冬氨酸衍生物，C@H表示D型，无环或芳香结构,Yes,Yes
3MY,OC(=O)[C@H](Cc1ccc(c(c1)Cl)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-酪氨酸衍生物，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
4BF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)Br,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-溴苯丙氨酸，C@H表示D型，含溴代苯环为芳香族,Yes,Yes
4CF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C#N,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-氰基苯丙氨酸，C@H表示D型，含氰基苯环为芳香族,Yes,Yes
4CY,N#CSCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-半胱氨酸衍生物，C@@H表示L型，为标准α氨基酸,Yes,Yes
4FW,OC(=O)[C@H](Cc1c[nH]c2c1c(F)ccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含氟代吲哚环系统为芳香族,Yes,Yes
4HMP,OCc1ccc(cc1)C[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-酪氨酸衍生物，C@@H表示L型，含羟甲基苯环为芳香族,Yes,Yes
4HT,O=[C](=O)[C@H](Cc1c[nH]c2c1c(O)ccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含羟基吲哚环系统为芳香族,Yes,Yes
