氨基酸代码,SMILES,分类状态,主要类别,所有分类,置信度,处理时间(秒),不一致数,推荐建议
GME,COC(=O)CC[C@@H](C(=O)O)[NH3],SUCCESS,alpha_amino_acid,alpha_amino_acid,1.0,0.006,0,分类结果高度可信，建议直接采用
4CY,N#CSCC[C@@H](C(=O)O)[NH3],SUCCESS,alpha_amino_acid,alpha_amino_acid,1.0,0.001,0,分类结果高度可信，建议直接采用
CNP2,N#Cc1ccccc1C[C@@H](C(=O)O)[NH3],SUCCESS,alpha_amino_acid,"alpha_amino_acid, cyclic_amino_acid, aromatic_amino_acid",1.0,0.002,0,分类结果高度可信，建议直接采用
SYM,OC(=O)[C@H](C[C@H]([C](=O)=O)C)[NH3],SUCCESS,d_type_amino_acid,d_type_amino_acid,0.695,0.001,0,分类结果基本可信，可考虑采用
PF5,[NH3][C@H](C(=O)O)Cc1c(F)c(F)c(c(c1F)F)F,SUCCESS,alpha_amino_acid,"alpha_amino_acid, d_type_amino_acid, cyclic_amino_acid, aromatic_amino_acid",1.0,0.002,0,分类结果高度可信，建议直接采用
CHG,[NH3][C@H](C(=O)O)C1CCCCC1,SUCCESS,alpha_amino_acid,"alpha_amino_acid, d_type_amino_acid, cyclic_amino_acid",1.0,0.002,0,分类结果高度可信，建议直接采用
CPG2,O=[C](=O)[C@H](c1ccccc1Cl)[NH3],SUCCESS,d_type_amino_acid,d_type_amino_acid,0.671,0.0,0,分类结果基本可信，可考虑采用
PYZ1,OC(=O)[C@H](Cn1cccn1)[NH3],SUCCESS,d_type_amino_acid,"d_type_amino_acid, cyclic_amino_acid, aromatic_amino_acid",0.758,0.002,0,分类结果较为可信，建议采用
GGB,[NH3][C@H]([C](=O)=O)CCON=C(N)N,SUCCESS,d_type_amino_acid,d_type_amino_acid,0.671,0.0,0,分类结果基本可信，可考虑采用
2FM,FC(SCC[C@@H](C(=O)O)[NH3])F,SUCCESS,alpha_amino_acid,alpha_amino_acid,1.0,0.001,0,分类结果高度可信，建议直接采用
MHO,C[S@@](=O)CC[C@@H](C(=O)O)[NH3],SUCCESS,alpha_amino_acid,alpha_amino_acid,1.0,0.001,0,分类结果高度可信，建议直接采用
OMT,OC(=O)[C@H](CCS(=O)(=O)C)[NH3],SUCCESS,d_type_amino_acid,d_type_amino_acid,0.671,0.001,0,分类结果基本可信，可考虑采用
MTR5,Cc1cc2c(C[C@@H](C(=O)O)[NH3])c[nH]c2cc1,SUCCESS,alpha_amino_acid,"alpha_amino_acid, cyclic_amino_acid, aromatic_amino_acid",1.0,0.002,0,分类结果高度可信，建议直接采用
2HF2,[NH3][C@H](C(=O)O)Cc1c[nH]c(n1)F,SUCCESS,alpha_amino_acid,"alpha_amino_acid, d_type_amino_acid, cyclic_amino_acid, aromatic_amino_acid",1.0,0.002,0,分类结果高度可信，建议直接采用
IGL,[NH3][C@H]([C](=O)=O)[C@@H]1Cc2c(C1)cccc2,SUCCESS,alpha_amino_acid,alpha_amino_acid,0.605,0.0,0,分类结果基本可信，可考虑采用
CPG3,OC(=O)[C@H](c1cccc(c1)Cl)[NH3],SUCCESS,d_type_amino_acid,"d_type_amino_acid, cyclic_amino_acid, aromatic_amino_acid",0.771,0.002,0,分类结果较为可信，建议采用
